tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,021,200283,,,Pam Teeguarden,U,,USA,,,,200893,,,Francoise Repoux,U,,FRA,,,,6-1 6-2,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,022,200846,,,Michelle Rodriguez,U,,CHI,,,,203692,,,Madeleine Pegel,U,,SWE,,,,6-4 6-2,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,023,200835,,,Janine Lieffrig,U,,RSA,,,,200755,,,Daniela Marzano,U,,ITA,,,,9-11 6-3 6-1,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,024,200854,,,Maria Teresa Nasuelli,U,,ITA,,,,200165,,,Lany Kaligis,U,,INA,,,,6-1 6-4,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,025,200879,,,Wendy Overton,U,,USA,,,,200797,,,Anne Marie Studer,U,,SUI,,,,W/O,3,Q2
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,026,200873,,,Ana Maria Arias,U,,CHI,,,,200872,,,Nicole Bimes,U,,FRA,,,,7-5 6-2,3,Q3
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,027,200881,,,Edith Winkens,U,,FRG,,,,200853,,,Anne Marie Rouchon,U,,FRA,,,,6-2 6-2,3,Q3
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,028,200188,,,Helen Amos,U,,AUS,,,,200834,,,Suzana Gesteira,U,,BRA,,,,6-4 6-3,3,Q3
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,029,200787,,,Fiorella Bonicelli,U,,URU,,,,200832,,,Daniele Bouteleux,U,,FRA,,,,6-3 6-4,3,Q3
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,030,200162,,,Judith Salome,U,,NED,,,,200781,,,Edda Buding,U,,FRG,,,,6-2 9-7,3,Q3
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,031,200283,,,Pam Teeguarden,U,,USA,,,,200786,,,Claudine Rouire,U,,FRA,,,,6-4 6-4,3,Q3
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,032,200835,,,Janine Lieffrig,U,,RSA,,,,200846,,,Michelle Rodriguez,U,,CHI,,,,6-2 6-3,3,Q3
1970-W-SL-FRA-01A-1970,French Open,Clay,32,G,19700525,033,200879,,,Wendy Overton,U,,USA,,,,200854,,,Maria Teresa Nasuelli,U,,ITA,,,,6-2 6-2,3,Q3
